year_aliya,month_aliya,age,age_tday,gender,erez_moza,subcont,yeshuv_klita,machoz,mikzoa
2016,6,19,26,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,9,20,27,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,20,27,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,10,21,28,נקבה,שוויץ,מערב אירופה,ירושלים,מחוז הדרום וירושלים,מינהל עסקים
2016,9,20,27,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,20,27,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,6,19,26,זכר,שוויץ,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,19,26,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,9,18,26,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,9,20,27,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,9,18,26,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,10,19,26,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,5,31,38,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,שיווק ויחסי ציבור
2016,3,63,70,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,11,19,26,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,9,20,27,נקבה,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,10,20,27,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,9,23,30,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,10,64,72,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,עקרת בית
2016,11,22,29,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,21,28,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,5,18,25,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,10,40,48,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,רופא
2016,10,38,45,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,עובד סוציאלי
2016,10,8,15,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,10,5,12,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,10,9,16,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,10,1,8,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,11,20,26,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,9,19,26,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,10,23,30,זכר,רוסיה,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,9,23,30,נקבה,ארגנטינה,דרום אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,8,20,27,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,תלמיד ישיבה
2016,9,21,28,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,9,21,28,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,5,22,29,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,תלמיד ישיבה
2016,5,20,27,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,9,22,29,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,9,27,34,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,9,26,34,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,רופא שיניים
2016,1,61,69,נקבה,מונקו,מערב אירופה,ירושלים,מחוז הדרום וירושלים,אדריכל ומתכנן ערים
2016,11,20,27,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,20,26,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,23,30,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,תקשורת
2016,11,20,27,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,26,33,נקבה,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,מעצב פנים
2016,11,24,31,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,"מורה דרך, מדריך הסברה"
2016,2,17,25,זכר,קנדה,צפון אמריקה,ירושלים,מחוז הדרום וירושלים,תלמיד ישיבה
2016,11,26,33,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,2,53,61,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,מורה לחנוך על-יסודי
2016,9,22,29,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,"מזכירה, כתבנית, קצרנית"
2016,10,78,85,זכר,שוויץ,מערב אירופה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,11,21,28,זכר,קנדה,צפון אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,10,22,29,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,10,24,31,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,18,25,נקבה,ברזיל,דרום אמריקה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,7,21,28,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,3,49,56,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,3,48,56,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,3,8,15,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,3,10,17,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,3,16,24,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,3,18,26,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,9,19,26,נקבה,שוויץ,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,75,82,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,11,72,79,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,11,18,25,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,9,80,87,זכר,שוויץ,מערב אירופה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,11,20,27,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,10,20,27,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,8,59,67,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,8,49,56,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,"מזכירה, כתבנית, קצרנית"
2016,9,30,37,זכר,אקוודור,דרום אמריקה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,10,18,25,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,6,26,33,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,תקשורת
2016,11,21,28,נקבה,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,20,27,נקבה,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,8,18,25,נקבה,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,24,31,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,9,42,49,זכר,אוקראינה,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,מורה לחנוך על-יסודי
2016,11,22,29,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,אקדמאי במדעי הרוח
2016,10,36,43,זכר,קנדה,צפון אמריקה,ירושלים,מחוז הדרום וירושלים,אקדמאי במדעי הרוח
2016,7,25,32,נקבה,רוסיה,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,פסיכולוג
2016,11,79,86,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,11,72,79,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,12,25,31,נקבה,אוקראינה,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,אקדמאי במדעי החברה
2016,11,18,25,נקבה,קוסטה ריקה,דרום אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,12,28,35,זכר,בלגיה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,"זבן, מוכר"
2016,9,23,31,נקבה,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,אקדמאי במדעי הרוח
2016,9,23,30,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,אקדמאי במדעי היהדות
2016,9,63,70,נקבה,ונצואלה,דרום אמריקה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,10,27,34,נקבה,אוקראינה,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,אקדמאי במדעי החברה
2016,7,26,33,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,מינהל עסקים
2016,12,88,95,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,10,19,26,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,9,0,7,זכר,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,11,28,35,נקבה,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,משפטן
2016,9,27,34,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,עצמאי
2016,9,25,32,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,שיווק ויחסי ציבור
2016,9,2,9,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,9,0,7,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,8,20,27,זכר,הולנד,מערב אירופה,ירושלים,מחוז הדרום וירושלים,תלמיד ישיבה
2016,9,22,30,נקבה,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,גננת
2016,9,19,27,זכר,בלגיה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,תלמיד ישיבה
2016,9,71,78,זכר,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,"מורה בבי""ס יסודי"
2016,8,19,27,נקבה,"דרא""פ",שאר אפריקה,ירושלים,מחוז הדרום וירושלים,מעצב גרפיקה
2016,9,20,27,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,9,70,77,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,9,66,73,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,8,18,26,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,6,19,26,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,11,70,77,נקבה,ברזיל,דרום אמריקה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,11,19,26,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,12,23,30,נקבה,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,6,18,25,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,23,30,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,9,90,97,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,9,20,27,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,20,27,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,11,29,36,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,אקדמאי במדעי היהדות
2016,12,63,70,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,"מורה בבי""ס יסודי"
2016,12,64,71,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,רב
2016,11,19,26,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,11,24,31,נקבה,נורבגיה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,מטפלת רפואית
2016,7,20,27,נקבה,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,60,67,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,אקדמאי במדעי החברה
2016,12,22,29,זכר,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,איש צבא סדיר
2016,9,21,28,זכר,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,12,26,33,נקבה,שוויץ,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,12,2,9,זכר,שוויץ,מערב אירופה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,7,21,29,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,77,84,נקבה,אוקראינה,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,12,63,70,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,רואה חשבון
2016,9,19,27,נקבה,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,מנהל חשבונות
2016,5,64,72,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,מנהל כללי
2016,5,61,69,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,9,24,31,נקבה,קנדה,צפון אמריקה,ירושלים,מחוז הדרום וירושלים,"זבן, מוכר"
2016,8,19,26,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,איש צבא סדיר
2016,9,79,86,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,9,87,95,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,12,22,29,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,מורה לחנוך על-יסודי
2016,12,0,7,זכר,"דרא""פ",שאר אפריקה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,12,23,30,זכר,"דרא""פ",שאר אפריקה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,12,21,28,נקבה,"דרא""פ",שאר אפריקה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,6,24,31,זכר,אוקראינה,מזרח אירופה,ירושלים,מחוז הדרום וירושלים,כימאי
2016,12,32,39,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,לא צויין
2016,12,18,25,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,12,90,97,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,8,57,64,זכר,גווטאמלה,דרום אמריקה,ירושלים,מחוז הדרום וירושלים,מינהל עסקים
2016,8,56,63,נקבה,גווטאמלה,דרום אמריקה,ירושלים,מחוז הדרום וירושלים,מעצב גרפיקה
2016,3,20,28,נקבה,"ארה""ב",צפון אמריקה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,8,67,75,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,רופא
2016,5,22,30,זכר,קנדה,צפון אמריקה,ירושלים,מחוז הדרום וירושלים,תזונאי /דיאטני
2016,9,22,29,זכר,הולנד,מערב אירופה,ירושלים,מחוז הדרום וירושלים,תעשית מזון ומשקאות
2016,11,29,36,זכר,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,עצמאי
2016,11,18,25,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,9,21,28,זכר,קנדה,צפון אמריקה,ירושלים,מחוז הדרום וירושלים,תלמיד ישיבה
2016,12,20,27,נקבה,בלגיה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,פיתוח תוכנה
2016,11,23,30,נקבה,מכסיקו,צפון אמריקה,ירושלים,מחוז הדרום וירושלים,"שחקן, רקדן"
2016,9,20,27,נקבה,בריטניה,מערב אירופה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,9,23,30,זכר,קולומביה,דרום אמריקה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,11,23,30,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,סטודנט
2016,11,25,32,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,תלמיד ישיבה
2016,9,19,26,זכר,קנדה,צפון אמריקה,ירושלים,מחוז הדרום וירושלים,בלתי מקצועי
2016,11,29,36,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,אקדמאי במדעי החברה
2016,12,60,67,זכר,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,נהג מונית
2016,12,56,62,נקבה,צרפת,מערב אירופה,ירושלים,מחוז הדרום וירושלים,לא צויין
